match_id,group_id,round_in_group,team_a,team_b,venue_id,slot_id,city,country,reference_date,reference_kickoff_time,local_datetime,utc_datetime,required_security_level,expected_attendance,expected_tv_viewers,ticket_revenue_usd,broadcast_value_usd,travel_cost_index,fairness_penalty,risk_index,total_objective_value
GC02,C,1,Haiti,Scotland,V08,S034,Mexico City,Mexico,2026-06-13,21:00,2026-06-13 21:00,2026-06-14 01:00,2,34899,156655136,12532410880.0,3169133.4,19.0,0.666667,0.30108,
GC03,C,2,Brazil,Haiti,V10,S101,Monterrey,Mexico,2026-06-20,12:00,2026-06-20 12:00,2026-06-20 16:00,1,32034,155537536,14776065920.0,3359610.78,6.8,0.666667,0.351189,
GC04,C,2,Morocco,Scotland,V04,S081,Guadalajara,Mexico,2026-06-18,12:00,2026-06-18 12:00,2026-06-18 16:00,3,47021,187135296,17777853120.0,4581072.05,6.7,0.666667,0.579419,
GC05,C,3,Brazil,Scotland,V01,S161,Atlanta,United States,2026-06-26,12:00,2026-06-26 12:00,2026-06-26 16:00,2,37830,191071856,21017904160.0,7104051.61,8.9,0.666667,0.387706,
GC06,C,3,Morocco,Haiti,V06,S191,Kansas City,United States,2026-06-29,12:00,2026-06-29 12:00,2026-06-29 16:00,1,33507,158333136,17416644960.0,6249092.21,8.5,0.666667,0.316527,
GD01,D,1,United States,Paraguay,V04,S023,Guadalajara,Mexico,2026-06-12,18:00,2026-06-12 18:00,2026-06-12 22:00,3,45358,180925536,14474042880.0,1722411.1,17.7,0.666667,0.559554,
GD02,D,1,Australia,Turkey,V10,S011,Monterrey,Mexico,2026-06-11,12:00,2026-06-11 12:00,2026-06-11 16:00,3,47267,189685200,15174816000.0,3555174.86,36.4,0.666667,0.573798,
GD03,D,2,United States,Australia,V08,S131,Mexico City,Mexico,2026-06-23,12:00,2026-06-23 12:00,2026-06-23 16:00,4,52473,180859936,17181693920.0,4752999.12,4.7,0.666667,0.501078,
GD04,D,2,Paraguay,Turkey,V03,S084,Dallas,United States,2026-06-18,21:00,2026-06-18 21:00,2026-06-19 01:00,4,56083,193212448,18355182560.0,4312501.84,6.3,0.666667,0.552243,
GD05,D,3,United States,Turkey,V03,S161,Dallas,United States,2026-06-26,12:00,2026-06-26 12:00,2026-06-26 16:00,3,50782,199580080,21953808800.0,7420387.37,3.7,0.666667,0.496611,
GD06,D,3,Paraguay,Australia,V01,S191,Atlanta,United States,2026-06-29,12:00,2026-06-29 12:00,2026-06-29 16:00,3,49657,176439120,19408303200.0,6963699.19,7.8,0.666667,0.526998,
GE01,E,1,Germany,Curacao,V01,S034,Atlanta,United States,2026-06-13,21:00,2026-06-13 21:00,2026-06-14 01:00,1,32210,158492592,12679407360.0,3206305.14,17.8,0.666667,0.308587,
GE02,E,1,Ivory Coast,Ecuador,V16,S021,Vancouver,Canada,2026-06-12,12:00,2026-06-12 12:00,2026-06-12 16:00,3,50415,201173904,16093912320.0,4249295.79,28.3,0.666667,0.609715,
GE03,E,2,Germany,Ivory Coast,V09,S084,Miami,United States,2026-06-18,21:00,2026-06-18 21:00,2026-06-19 01:00,2,40477,183822160,17463105200.0,4102910.61,10.8,0.666667,0.475954,
GE04,E,2,Curacao,Ecuador,V15,S081,Toronto,Canada,2026-06-18,12:00,2026-06-18 12:00,2026-06-18 16:00,2,34961,142009104,13490864880.0,3476382.87,9.5,0.666667,0.422425,
GE05,E,3,Germany,Ecuador,V02,S181,Boston,United States,2026-06-28,12:00,2026-06-28 12:00,2026-06-28 16:00,3,47231,195798176,21537799360.0,7391772.74,6.8,0.666667,0.516249,
GE06,E,3,Curacao,Ivory Coast,V11,S153,New York/New Jersey,United States,2026-06-25,18:00,2026-06-25 18:00,2026-06-25 22:00,2,37457,162349728,17858470080.0,3900289.87,6.3,0.666667,0.333008,
GF01,F,1,Netherlands,Japan,V02,S061,Boston,United States,2026-06-16,12:00,2026-06-16 12:00,2026-06-16 16:00,3,48424,172879904,13830392320.0,3291633.37,25.6,0.666667,0.536785,
GF02,F,1,Sweden,Tunisia,V01,S014,Atlanta,United States,2026-06-11,21:00,2026-06-11 21:00,2026-06-12 01:00,2,41625,164266192,13141295360.0,3078759.1,24.6,0.666667,0.424956,
GF03,F,2,Netherlands,Sweden,V11,S131,New York/New Jersey,United States,2026-06-23,12:00,2026-06-23 12:00,2026-06-23 16:00,3,46080,189864672,18037143840.0,4989643.58,5.1,0.666667,0.447048,
GF04,F,2,Japan,Tunisia,V03,S131,Dallas,United States,2026-06-23,12:00,2026-06-23 12:00,2026-06-23 16:00,2,41635,175308464,16654304080.0,4607106.43,8.3,0.666667,0.393042,
GF05,F,3,Netherlands,Tunisia,V15,S174,Toronto,Canada,2026-06-27,21:00,2026-06-27 21:00,2026-06-28 01:00,2,33648,170514992,18756649120.0,6339747.4,6.6,0.666667,0.413205,
GF06,F,3,Japan,Sweden,V03,S184,Dallas,United States,2026-06-28,21:00,2026-06-28 21:00,2026-06-29 01:00,4,50930,201879440,22206738400.0,8198727.82,4.7,0.666667,0.50357,
GG01,G,1,Belgium,Egypt,V09,S021,Miami,United States,2026-06-12,12:00,2026-06-12 12:00,2026-06-12 16:00,2,39424,186317664,14905413120.0,3935494.86,27.5,0.666667,0.453102,
GG02,G,1,Iran,New Zealand,V04,S051,Guadalajara,Mexico,2026-06-15,12:00,2026-06-15 12:00,2026-06-15 16:00,2,38877,156815504,12545240320.0,3265682.87,35.7,0.666667,0.453147,
GG03,G,2,Belgium,Iran,V08,S121,Mexico City,Mexico,2026-06-22,12:00,2026-06-22 12:00,2026-06-22 16:00,3,44203,190553312,18102564640.0,4801943.46,6.7,0.666667,0.415948,
GG04,G,2,Egypt,New Zealand,V02,S104,Boston,United States,2026-06-20,21:00,2026-06-20 21:00,2026-06-21 01:00,2,43509,158472560,15054893200.0,4050558.63,11.3,0.666667,0.445849,
GG05,G,3,Belgium,New Zealand,V02,S161,Boston,United States,2026-06-26,12:00,2026-06-26 12:00,2026-06-26 16:00,2,34961,161350784,17748586240.0,5999022.15,6.7,0.666667,0.344064,
GG06,G,3,Egypt,Iran,V09,S194,Miami,United States,2026-06-29,21:00,2026-06-29 21:00,2026-06-30 01:00,3,49711,167711824,18448300640.0,6043663.29,8.8,0.666667,0.575279,
GH01,H,1,Spain,Cape Verde,V12,S061,Philadelphia,United States,2026-06-16,12:00,2026-06-16 12:00,2026-06-16 16:00,2,38024,166495120,13319609600.0,3170067.08,19.3,0.666667,0.365251,
GH02,H,1,Saudi Arabia,Uruguay,V02,S044,Boston,United States,2026-06-14,21:00,2026-06-14 21:00,2026-06-15 01:00,2,35423,156248976,12499918080.0,3021464.57,28.9,0.666667,0.358235,
GH03,H,2,Spain,Saudi Arabia,V06,S094,Kansas City,United States,2026-06-19,21:00,2026-06-19 21:00,2026-06-20 01:00,2,34404,163659952,15547695440.0,4006395.62,8.2,0.666667,0.332307,
GH04,H,2,Cape Verde,Uruguay,V02,S121,Boston,United States,2026-06-22,12:00,2026-06-22 12:00,2026-06-22 16:00,1,32327,151316448,14375062560.0,3813174.49,2.1,0.666667,0.31947,
GH05,H,3,Spain,Uruguay,V03,S191,Dallas,United States,2026-06-29,12:00,2026-06-29 12:00,2026-06-29 16:00,4,58377,169866080,18685268800.0,6704274.45,7.7,0.666667,0.584044,
GH06,H,3,Cape Verde,Saudi Arabia,V11,S204,New York/New Jersey,United States,2026-06-30,21:00,2026-06-30 21:00,2026-07-01 01:00,3,46248,163003776,17930415360.0,6246956.71,5.9,0.666667,0.428227,
GI01,I,1,France,Senegal,V04,S044,Guadalajara,Mexico,2026-06-14,21:00,2026-06-14 21:00,2026-06-15 01:00,2,40598,182363632,14589090560.0,3526456.73,28.2,0.666667,0.497414,
GI02,I,1,Iraq,Norway,V03,S031,Dallas,United States,2026-06-13,12:00,2026-06-13 12:00,2026-06-13 16:00,2,41981,160100144,12808011520.0,3191196.12,29.6,0.666667,0.386669,
GI03,I,2,France,Iraq,V09,S131,Miami,United States,2026-06-23,12:00,2026-06-23 12:00,2026-06-23 16:00,2,37304,162915808,15477001760.0,4281427.43,9.1,0.666667,0.414357,
GI04,I,2,Senegal,Norway,V04,S094,Guadalajara,Mexico,2026-06-19,21:00,2026-06-19 21:00,2026-06-20 01:00,3,43334,178981888,17003279360.0,4381476.62,3.6,0.666667,0.534786,
GI05,I,3,France,Norway,V09,S161,Miami,United States,2026-06-26,12:00,2026-06-26 12:00,2026-06-26 16:00,3,42132,187559232,20631515520.0,6973452.25,5.0,0.666667,0.486939,
GI06,I,3,Senegal,Iraq,V01,S181,Atlanta,United States,2026-06-28,12:00,2026-06-28 12:00,2026-06-28 16:00,2,37006,162370928,17860802080.0,6129827.27,7.8,0.666667,0.369104,
GJ01,J,1,Argentina,Algeria,V12,S034,Philadelphia,United States,2026-06-13,21:00,2026-06-13 21:00,2026-06-14 01:00,2,42249,179778176,14382254080.0,3636912.5,23.8,0.666667,0.42222,
GJ02,J,1,Austria,Jordan,V08,S031,Mexico City,Mexico,2026-06-13,12:00,2026-06-13 12:00,2026-06-13 16:00,2,39723,170974976,13677998080.0,3407958.71,33.9,0.666667,0.362719,
GJ03,J,2,Argentina,Austria,V12,S111,Philadelphia,United States,2026-06-21,12:00,2026-06-21 12:00,2026-06-21 16:00,3,46961,181045936,17199363920.0,4236474.9,6.1,0.666667,0.490189,
GJ04,J,2,Algeria,Jordan,V01,S082,Atlanta,United States,2026-06-18,15:00,2026-06-18 15:00,2026-06-18 19:00,3,44133,164656736,15642389920.0,2015398.45,7.6,0.666667,0.455497,
GJ05,J,3,Argentina,Jordan,V14,S164,Seattle,United States,2026-06-26,21:00,2026-06-26 21:00,2026-06-27 01:00,1,31616,165384224,18192264640.0,6338185.0,13.5,0.666667,0.312934,
GJ06,J,3,Algeria,Austria,V09,S171,Miami,United States,2026-06-27,12:00,2026-06-27 12:00,2026-06-27 16:00,3,43288,190925680,21001824800.0,7426245.25,6.7,0.666667,0.505522,
GK01,K,1,Portugal,DR Congo,V14,S011,Seattle,United States,2026-06-11,12:00,2026-06-11 12:00,2026-06-11 16:00,1,31289,162643824,13011505920.0,3048351.87,33.1,0.666667,0.303788,
GK02,K,1,Uzbekistan,Colombia,V07,S011,Los Angeles,United States,2026-06-11,12:00,2026-06-11 12:00,2026-06-11 16:00,2,42345,177871184,14229694720.0,3333750.67,26.7,0.666667,0.422587,
GK03,K,2,Portugal,Uzbekistan,V07,S104,Los Angeles,United States,2026-06-20,21:00,2026-06-20 21:00,2026-06-21 01:00,2,35073,165857904,15756500880.0,4239328.03,3.7,0.666667,0.33061,
GK04,K,2,DR Congo,Colombia,V14,S114,Seattle,United States,2026-06-21,21:00,2026-06-21 21:00,2026-06-22 01:00,2,36558,149172144,14171353680.0,3651734.09,3.7,0.666667,0.373542,
GK05,K,3,Portugal,Colombia,V07,S174,Los Angeles,United States,2026-06-27,21:00,2026-06-27 21:00,2026-06-28 01:00,3,48488,190102864,20911315040.0,7068024.48,3.7,0.666667,0.512206,
GK06,K,3,DR Congo,Uzbekistan,V07,S171,Los Angeles,United States,2026-06-27,12:00,2026-06-27 12:00,2026-06-27 16:00,2,43065,160555216,17661073760.0,6244955.68,3.7,0.666667,0.422771,
GL01,L,1,England,Croatia,V07,S024,Los Angeles,United States,2026-06-12,21:00,2026-06-12 21:00,2026-06-13 01:00,3,47972,195344944,15627595520.0,3893713.1,28.7,0.666667,0.505624,
GL02,L,1,Ghana,Panama,V08,S054,Mexico City,Mexico,2026-06-15,21:00,2026-06-15 21:00,2026-06-16 01:00,1,32445,148590896,11887271680.0,2917582.24,21.3,0.666667,0.274634,
GL03,L,2,England,Ghana,V06,S124,Kansas City,United States,2026-06-22,21:00,2026-06-22 21:00,2026-06-23 01:00,2,42319,171113840,16255814800.0,3942462.87,9.3,0.666667,0.423533,
GL04,L,2,Croatia,Panama,V08,S114,Mexico City,Mexico,2026-06-21,21:00,2026-06-21 21:00,2026-06-22 01:00,1,31920,152635568,14500378960.0,3736518.7,5.1,0.666667,0.265268,
GL05,L,3,England,Panama,V14,S204,Seattle,United States,2026-06-30,21:00,2026-06-30 21:00,2026-07-01 01:00,1,30170,154045696,16945026560.0,5903647.25,11.9,0.666667,0.290915,
GL06,L,3,Croatia,Ghana,V01,S174,Atlanta,United States,2026-06-27,21:00,2026-06-27 21:00,2026-06-28 01:00,2,40667,170354256,18738968160.0,6333771.24,7.6,0.666667,0.413192,
