slot,time_str,price,load,pv_forecast
42,07:10:00,0.8092,4524.0721,1791.4107
43,07:20:00,0.7972,4545.8867,2085.4865
44,07:30:00,0.7644,4523.2418,2381.2611
45,07:40:00,0.6899,4383.3566,2683.1752
46,07:50:00,0.86,4910.4599,2986.3552
47,08:00:00,1.1617,5799.7327,3289.204
48,08:10:00,1.1683,5884.826,3593.3613
49,08:20:00,1.0956,5748.0713,3890.7332
50,08:30:00,1.0849,5769.0581,4181.3417
51,08:40:00,1.061,5754.2105,4471.7657
52,08:50:00,1.043,5824.1807,4752.8272
53,09:00:00,1.036,5954.2601,5021.9074
54,09:10:00,1.0147,5958.9696,5285.4126
55,09:20:00,0.9922,5929.5554,5543.1742
56,09:30:00,0.97,5923.7828,5788.4093
57,09:40:00,0.9422,5907.586,6012.1304
58,09:50:00,0.9569,5899.1262,6216.1528
59,10:00:00,0.9977,5902.2196,6409.5941
60,10:10,0.9919,5897.4793,6599.3808
61,10:20,0.9588,5886.7568,6766.7204
62,10:30,0.9549,5873.4708,6914.5923
63,10:40,0.9839,5858.0308,7064.2053
64,10:50,0.799,5844.9948,7197.4315
65,11:00,0.5025,5839.0587,7303.1142
66,11:10,0.4662,5838.7103,7387.6848
67,11:20,0.5007,5823.4378,7459.227
68,11:30,0.4827,5814.7932,7520.7191
69,11:40,0.4785,5832.3951,7568.2039
70,11:50,0.4662,5712.901,7592.1539
71,12:00,0.4432,5519.4607,7601.0433
72,12:10,0.4411,5494.7907,7612.316
73,12:20,0.4551,5514.4524,7602.6524
74,12:30,0.4463,5485.829,7554.1872
75,12:40,0.4113,5462.3628,7472.7384
76,12:50,0.5682,5566.1066,7393.4172
77,13:00,0.8279,5725.7548,7312.7979
78,13:10,0.8636,5739.4957,7194.541
79,13:20,0.8416,5714.6836,7053.1371
80,13:30,0.8618,5717.8505,6910.4064
81,13:40,0.8623,5708.2486,6772.4075
82,13:50,0.9026,5696.9182,6607.36
83,14:00,0.9754,5692.2983,6412.5085
84,14:10,1.0002,5687.1291,6214.0158
85,14:20,0.9978,5678.962,6000.7112
86,14:30,1.0271,5669.4508,5766.9816
87,14:40,1.0906,5664.1948,5521.5066
88,14:50,0.9376,5672.7011,5268.781
89,15:00,0.6694,5682.2544,5009.7152
90,15:10,0.66,5669.0195,4743.4484
91,15:20,0.7217,5656.3651,4471.224
92,15:30,0.7308,5657.0867,4188.2025
93,15:40,0.7534,5662.6008,3889.3931
94,15:50,0.7823,5669.2596,3594.5946
95,16:00,0.8055,5673.4767,3303.8878
96,16:10,0.8271,5671.0146,2998.4247
97,16:20,0.8519,5661.5926,2687.4131
98,16:30,0.8791,5665.8922,2383.1779
99,16:40,0.9024,5689.0372,2089.1246
100,16:50,0.9163,5603.6614,1791.0829
101,17:00,0.9264,5466.7124,1501.7283
102,17:10,0.9462,5467.3939,1255.1723
103,17:20,0.9742,5464.727,1036.3323
104,17:30,0.9862,5492.4458,836.7775
105,17:40,0.976,5621.7308,665.2313
106,17:50,1.0742,5091.2126,516.6758
107,18:00,1.2313,4208.5688,386.6731
108,18:10,1.2561,4122.7611,275.7933
109,18:20,1.2447,4255.9358,182.9526
110,18:30,1.2545,4225.9524,108.3414
111,18:40,1.2522,4233.3384,54.3121
112,18:50,1.2881,4246.4625,18.6569
113,19:00,1.3466,4239.1795,0.2753
114,19:10,1.3523,4244.6684,0.2296
115,19:20,1.3445,4251.9187,0.6007
116,19:30,1.3483,4256.6813,0.0
117,19:40,1.349,4267.3947,0.0
118,19:50,1.3473,4269.975,0.0
119,20:00,1.3482,4268.6702,0.0
120,20:10,1.3513,4282.2245,0.0
121,20:20,1.34,4291.7049,0.0
122,20:30,1.3489,4291.3611,0.0
123,20:40,1.3952,4293.9182,0.0
124,20:50,1.2226,4295.2135,0.0
125,21:00,0.9332,4302.0307,0.0
126,21:10,0.9068,4320.9618,0.0
127,21:20,0.9371,4302.3292,0.0
128,21:30,0.9371,4322.6758,0.0
129,21:40,0.9871,4428.8083,0.0
130,21:50,0.7764,4030.1614,0.0
131,22:00,0.4209,3362.7419,0.0
132,22:10,0.3859,3309.3934,0.0
133,22:20,0.4368,3412.9563,0.0
134,22:30,0.4198,3381.9313,0.0
135,22:40,0.4186,3386.5592,0.0
136,22:50,0.4241,3400.4846,0.0
137,23:00,0.4237,3399.2426,0.0
138,23:10,0.4248,3406.9809,0.0
139,23:20,0.424,3416.1518,0.0
140,23:30,0.422,3421.9811,0.0
141,23:40,0.424,3429.6923,0.0
142,23:50,0.4271,3439.061,0.0
143,0:00+1,0.4276,3444.7259,0.0
