date,start_slot,end_slot,时间段,紧急购电量
2025-09-23,123,123,20:30-20:40,30.53749974167056
2025-09-23,125,126,20:50-21:10,54.79130146666685
2025-09-25,113,113,18:50-19:00,15.37166666666667
2025-09-27,123,123,20:30-20:40,36.70004022499813
2025-09-29,36,36,6:00-6:10,20.39463333333333
2025-09-29,123,123,20:30-20:40,5.620383333333393
2025-09-30,120,120,20:00-20:10,31.411150000000134
2025-10-12,36,36,6:00-6:10,20.929933333333338
2025-10-16,122,125,20:20-21:00,994.5811811249946
2025-10-19,123,124,20:30-20:50,210.4793815500008
2025-10-19,128,128,21:20-21:30,2.497790158333629
2025-10-20,56,60,9:20-10:10,527.6638814583315
2025-10-21,57,60,9:30-10:10,171.0193791666633
2025-10-22,57,61,9:30-10:20,461.37056391666835
2025-10-24,127,127,21:10-21:20,12.751659974997034
2025-10-27,36,36,6:00-6:10,19.744933333333393
2025-10-27,123,123,20:30-20:40,0.6340119000033155
2025-10-29,58,62,9:40-10:30,315.3274717499996
2025-10-29,123,125,20:30-21:00,364.6628627249924
2025-10-29,128,128,21:20-21:30,12.780272216666674
2025-10-30,36,36,6:00-6:10,3.4856733333333523
2025-11-04,35,36,5:50-6:10,33.59955000000002
2025-11-05,39,39,6:30-6:40,3.2276833333334025
2025-11-06,58,59,9:40-10:00,296.35391820833314
2025-11-06,61,62,10:10-10:30,94.72742390833328
2025-11-10,123,123,20:30-20:40,91.04637727499994
2025-11-11,38,38,6:20-6:30,2.0516666666667334
2025-11-12,38,38,6:20-6:30,11.773333333333426
2025-11-13,36,36,6:00-6:10,2.010533333333342
2025-11-24,36,36,6:00-6:10,18.83966666666663
2025-11-26,36,36,6:00-6:10,29.14984083333343
2025-12-01,47,48,7:50-8:10,95.37382916666638
2025-12-01,54,64,9:00-10:50,3189.582316
2025-12-01,121,121,20:10-20:20,34.17353489166942
2025-12-01,123,123,20:30-20:40,675.6580675
2025-12-02,47,49,7:50-8:20,116.84440000000006
2025-12-02,57,64,9:30-10:50,2039.6928558750058
2025-12-02,122,125,20:20-21:00,755.1057663250015
2025-12-02,127,129,21:10-21:40,51.64658883333304
2025-12-02,134,135,22:20-22:40,22.690683724999637
2025-12-03,47,47,7:50-8:00,4.642249999999876
2025-12-04,48,49,8:00-8:20,46.62633666666659
2025-12-05,50,56,8:20-9:30,926.8593781916637
2025-12-05,122,124,20:20-20:50,1007.0869401083362
2025-12-06,52,58,8:40-9:50,680.6167399249978
2025-12-06,123,124,20:30-20:50,750.9558765833319
2025-12-06,126,127,21:00-21:20,54.90248333333342
2025-12-09,47,47,7:50-8:00,17.828000000000202
2025-12-28,48,48,8:00-8:10,8.377140000000054
